tf	tg	regtype	source	evidence
ihf	tdcb	+	[bce, bpp, hibscs, sm]	weak	
ihf	tdcc	+	[bce, bpp, hibscs, sm]	weak	
ihf	tdcd	+	[bce, bpp, hibscs, sm]	weak	
ihf	tdce	+	[bce, bpp, hibscs, sm]	weak	
ihf	tdcf	+	[bce, bpp, hibscs, sm]	weak	
ihf	tdcg	+	[bce, bpp, hibscs, sm]	weak	
ihf	tyrp	-	[gea]	weak	
ihf	ubia	-	[gea, hibscs]	weak	
ihf	ubic	-	[gea, hibscs]	weak	
ihf	ulaa	-	[bce, ntas]	weak	
ihf	ulab	-	[bce, ntas]	weak	
ihf	ulac	-	[bce, ntas]	weak	
ihf	ulad	-	[bce, ntas]	weak	
ihf	ulae	-	[bce, ntas]	weak	
ihf	ulaf	-	[bce, ntas]	weak	
ihf	ulag	-	[bce, gea]	weak	
ihf	uspa	+	[gea, hibscs]	weak	
ihf	uspb	-	[gea, hibscs]	weak	
ihf	yadv	+	[gea]	weak	
ihf	yeil	+	[gea, hibscs]	weak	
ihf	yiaj	-	[bpp, hibscs]	strong	
ihf	yiak	+	[bpp, gea, hibscs, sm]	strong	
ihf	yial	+	[bpp, gea, hibscs, sm]	strong	
ihf	yiam	+	[bpp, gea, hibscs, sm]	strong	
ihf	yian	+	[bpp, gea, hibscs, sm]	strong	
ihf	yiao	+	[bpp, gea, hibscs, sm]	strong	
ihf	yjbe	+	[bpp, hibscs]	strong	
ihf	yjbf	+	[bpp, hibscs]	strong	
ihf	yjbg	+	[bpp, hibscs]	strong	
ihf	yjbh	+	[bpp, hibscs]	strong	
ihf	yjch	-	[aibscs, bpp, gea, sm]	weak	
iclr	acea	-	[bpp, gea, hibscs]	strong	
iclr	aceb	-	[bpp, gea, hibscs]	strong	
iclr	acek	-	[bpp, gea, hibscs]	strong	
iclr	iclr	-	[bpp, gea, hibscs]	strong	
idnr	gntk	-	[gea]	weak	
idnr	gntu	-	[gea]	weak	
idnr	idnd	+	[aibscs, gea]	weak	
idnr	idnk	+	[aibscs, gea]	weak	
idnr	idno	+	[aibscs, gea]	weak	
idnr	idnr	+	[aibscs, gea]	weak	
idnr	idnt	+	[aibscs, gea]	weak	
ilvy	ilvc	+	[bce, bpp, gea, hibscs, ic]	weak	
ilvy	ilvy	-	[bce, bpp, gea, hibscs, ic]	weak	
iscr	erpa	-	[bpp, gea]	strong	
iscr	hyaa	-	[bpp, gea, hibscs]	strong	
iscr	hyab	-	[bpp, gea, hibscs]	strong	
iscr	hyac	-	[bpp, gea, hibscs]	strong	
iscr	hyad	-	[bpp, gea, hibscs]	strong	
iscr	hyae	-	[bpp, gea, hibscs]	strong	
iscr	hyaf	-	[bpp, gea, hibscs]	strong	
iscr	isca	-	[bpp, gea, sm]	strong	
iscr	iscr	-	[bpp, gea, sm]	strong	
iscr	iscs	-	[bpp, gea, sm]	strong	
iscr	iscu	-	[bpp, gea, sm]	strong	
iscr	napa	-	[bpp, gea]	strong	
iscr	napb	-	[bpp, gea]	strong	
iscr	napc	-	[bpp, gea]	strong	
iscr	napd	-	[bpp, gea]	strong	
iscr	napf	-	[bpp, gea]	strong	
iscr	napg	-	[bpp, gea]	strong	
iscr	naph	-	[bpp, gea]	strong	
iscr	nfua	-	[bpp, gea]	strong	
iscr	nrde	+	[gea]	weak	
iscr	nrdf	+	[gea]	weak	
iscr	nrdh	+	[gea]	weak	
iscr	nrdi	+	[gea]	weak	
iscr	rnla	-	[bpp, gea, hibscs]	strong	
iscr	rnlb	-	[bpp, gea, hibscs]	strong	
iscr	sufa	+	[bpp, gea, hibscs, imp, sm]	strong	
iscr	sufb	+	[bpp, gea, hibscs, imp, sm]	strong	
iscr	sufc	+	[bpp, gea, hibscs, imp, sm]	strong	
iscr	sufd	+	[bpp, gea, hibscs, imp, sm]	strong	
iscr	sufe	+	[bpp, gea, hibscs, imp, sm]	strong	
iscr	sufs	+	[bpp, gea, hibscs, imp, sm]	strong	
iscr	ydiu	+	[bpp, gea]	strong	
kdgr	eda	-	[aibscs, bpp, gea, hibscs]	weak	
kdgr	edd	-	[aibscs, hibscs]	weak	
kdpe	kdpa	+	[bpp, gea, hibscs, sm]	strong	
kdpe	kdpb	+	[bpp, gea, hibscs, sm]	strong	
kdpe	kdpc	+	[bpp, gea, hibscs, sm]	strong	
kdpe	kdpf	+	[bpp, gea, hibscs, sm]	strong	
laci	laca	-	[hibscs, sm]	weak	
laci	lacy	-	[hibscs, sm]	weak	
laci	lacz	-	[hibscs, sm]	weak	
leuo	bglb	+	[bpp, gea, ic]	strong	
leuo	bglf	+	[bpp, gea, ic]	strong	
leuo	bglg	+	[bpp, gea, ic]	strong	
leuo	bglj	+	[bpp]	strong	
leuo	cadc	-	[gea]	weak	
leuo	cas1	+	[bpp, gea, ic]	strong	
leuo	cas2	+	[bpp, gea, ic]	strong	
leuo	casa	+	[bpp, gea, ic]	strong	
leuo	casb	+	[bpp, gea, ic]	strong	
leuo	casc	+	[bpp, gea, ic]	strong	
leuo	casd	+	[bpp, gea, ic]	strong	
leuo	case	+	[bpp, gea, ic]	strong	
leuo	dsra	-	[gea]	weak	
leuo	leua	+	[gea]	weak	
leuo	leub	+	[gea]	weak	
leuo	leuc	+	[gea]	weak	
leuo	leud	+	[gea]	weak	
leuo	leul	+	[gea]	weak	
leuo	leuo	+	[bpp, gea, ic]	strong	
leuo	leuo	+-	[bpp, gea, ic]	strong	
leuo	yjjq	+	[bpp]	strong	
lexa	cho	-	[aibscs, hibscs]	weak	
lexa	ddlb	-	[hibscs]	weak	
lexa	dinb	-	[aibscs, hibscs, icwho]	weak	
lexa	dind	-	[aibscs, gea, hibscs]	weak	
lexa	dinf	-	[bpp, hibscs]	strong	
lexa	ding	-	[aibscs, bpp, gea]	weak	
lexa	dini	-	[aibscs, bpp, gea, hibscs, ihbce, sm]	weak	
lexa	dinj	-	[aibscs, gea]	weak	
lexa	dinq	-	[aibscs, gea, hibscs]	weak	
lexa	dnag	-	[bce, sm]	weak	
lexa	ftsa	-	[hibscs]	weak	
lexa	ftsi	-	[hibscs]	weak	
lexa	ftsk	-	[aibscs, bpp, gea]	weak	
lexa	ftsl	-	[hibscs]	weak	
lexa	ftsq	-	[hibscs]	weak	
lexa	ftsw	-	[hibscs]	weak	
lexa	ftsz	-	[hibscs]	weak	
lexa	hoke	-	[aibscs]	weak	
lexa	insk	-	[aibscs, gea]	weak	
lexa	lexa	-	[bpp, hibscs]	strong	
lexa	lpxc	-	[hibscs]	weak	
lexa	molr_1	-	[aibscs]	weak	
lexa	mray	-	[hibscs]	weak	
lexa	murc	-	[hibscs]	weak	
lexa	murd	-	[hibscs]	weak	
lexa	mure	-	[hibscs]	weak	
lexa	murf	-	[hibscs]	weak	
lexa	murg	-	[hibscs]	weak	
lexa	phr	-	[gea, hibscs]	weak	
lexa	polb	-	[aibscs, bpp, gea]	weak	
lexa	ptra	-	[bpp, sm]	strong	
lexa	reca	-	[bpp]	strong	
lexa	recb	-	[bpp, sm]	strong	
lexa	recd	-	[bpp, sm]	strong	
lexa	recn	-	[aibscs, bpp]	weak	
lexa	recx	-	[bpp]	strong	
lexa	rpod	-	[bce, sm]	weak	
lexa	rpsu	-	[bce, sm]	weak	
lexa	ruva	-	[bpp, hibscs]	strong	
lexa	ruvb	-	[bpp, hibscs]	strong	
lexa	sbmc	-	[gea, ihbce]	weak	
lexa	ssb	-	[bce, hibscs]	weak	
lexa	sula	-	[bce]	weak	
lexa	syme	-	[aibscs, bpp]	weak	
lexa	tisb	-	[gea, ica]	weak	
lexa	umuc	-	[bpp, hibscs]	strong	
lexa	umud	-	[bpp, hibscs]	strong	
lexa	uvra	-	[bce, hibscs]	weak	
lexa	uvrb	-	[bpp, hibscs]	strong	
lexa	uvrc	-	[aibscs, gea]	weak	
lexa	uvrd	-	[hibscs]	weak	
lexa	uvry	-	[aibscs, gea]	weak	
lexa	yafn	-	[aibscs, hibscs, icwho]	weak	
lexa	yafo	-	[aibscs, hibscs, icwho]	weak	
lexa	yafp	-	[aibscs, hibscs, icwho]	weak	
lexa	yafq	-	[aibscs, gea]	weak	
lexa	ybfe	-	[aibscs]	weak	
lexa	ydjm	-	[aibscs, bpp, gea]	weak	
lexa	yebg	-	[aibscs, gea, hibscs, ihbce]	weak	
lldr	lldd	+	[aibscs, bpp, gea, sm]	weak	
lldr	lldd	-	[aibscs, bpp, gea, hibscs, sm]	weak	
lldr	lldp	+	[aibscs, bpp, gea, sm]	weak	
lldr	lldp	-	[aibscs, bpp, gea, hibscs, sm]	weak	
lldr	lldr	+	[aibscs, bpp, gea, sm]	weak	
lldr	lldr	-	[aibscs, bpp, gea, hibscs, sm]	weak	
lrha	fime	+	[bpp, gea]	strong	
lrha	flhc	-	[bpp, gea]	strong	
lrha	flhd	-	[bpp, gea]	strong	
lrha	lrha	+	[bpp, gea]	strong	
lrp	adhe	-	[aibscs, gea]	weak	
lrp	aidb	-	[bpp, hibscs]	strong	
lrp	alaa	-	[gea]	weak	
lrp	alat	-	[bce, bpp]	weak	
lrp	alau	-	[gea]	weak	
lrp	alav	-	[gea]	weak	
lrp	argo	+	[bpp, gea, hibscs]	strong	
lrp	aroa	+	[gea, hibscs, sm]	weak	
lrp	avta	-	[gea]	weak	
lrp	cada	+	[bpp, gea]	strong	
lrp	cadb	+	[bpp, gea]	strong	
lrp	csid	+	[bpp, gea]	strong	
lrp	dada	-	[bpp, gea, hibscs, sm]	strong	
lrp	dadx	-	[bpp, gea, hibscs, sm]	strong	
lrp	fau	-	[bpp, gea]	strong	
lrp	fima	+	[bpp, hibscs, sm]	strong	
lrp	fimc	+	[bpp, hibscs, sm]	strong	
lrp	fimd	+	[bpp, hibscs, sm]	strong	
lrp	fime	+	[gea]	weak	
lrp	fimf	+	[bpp, hibscs, sm]	strong	
lrp	fimg	+	[bpp, hibscs, sm]	strong	
lrp	fimh	+	[bpp, hibscs, sm]	strong	
lrp	fimi	+	[bpp, hibscs, sm]	strong	
lrp	gabd	+	[bpp, gea]	strong	
lrp	gabp	+	[bpp, gea]	strong	
lrp	gabt	+	[bpp, gea]	strong	
lrp	gcvh	+	[gea, sm]	weak	
lrp	gcvp	+	[gea, sm]	weak	
lrp	gcvt	+	[gea, sm]	weak	
lrp	gltb	+	[aibscs, bpp, gea, hibscs, sm]	weak	
lrp	gltd	+	[aibscs, bpp, gea, hibscs, sm]	weak	
lrp	gltf	+	[aibscs, bpp, gea, hibscs, sm]	weak	
lrp	gltt	-	[bpp, gea, iep]	strong	
lrp	gltu	-	[bpp, ida]	strong	
lrp	gltv	-	[gea]	weak	
lrp	gltw	-	[gea]	weak	
lrp	hdea	-	[aibscs, gea]	weak	
lrp	hdeb	-	[aibscs, gea]	weak	
lrp	ilet	-	[bce, bpp]	weak	
lrp	ileu	-	[gea]	weak	
lrp	ilev	-	[gea]	weak	
lrp	ilva	-	[hibscs, sm]	weak	
lrp	ilvd	-	[hibscs, sm]	weak	
lrp	ilve	-	[hibscs, sm]	weak	
lrp	ilvg_1	-	[hibscs, sm]	weak	
lrp	ilvg_2	-	[hibscs, sm]	weak	
lrp	ilvh	+	[bce, bpp, gea, hibscs, sm]	weak	
lrp	ilvh	-	[bce, bpp, gea, hibscs, sm]	weak	
lrp	ilvi	+	[bce, bpp, gea, hibscs, sm]	weak	
lrp	ilvi	-	[bce, bpp, gea, hibscs, sm]	weak	
lrp	ilvl	-	[hibscs, sm]	weak	
lrp	ilvm	-	[hibscs, sm]	weak	
lrp	ilvx	-	[hibscs, sm]	weak	
lrp	kbl	+	[aibscs, bpp, gea, hibscs]	weak	
lrp	leue	-	[aibscs]	weak	
lrp	lhgo	+	[bpp, gea]	strong	
lrp	livf	-	[gea]	weak	
lrp	livg	-	[gea]	weak	
lrp	livh	-	[gea]	weak	
lrp	livj	-	[bpp, gea, hibscs, sm]	strong	
lrp	livk	-	[gea]	weak	
lrp	livm	-	[gea]	weak	
lrp	lrp	-	[aibscs, bce, gea, hibscs, sm]	weak	
lrp	lysp	+	[bpp, gea]	strong	
lrp	lysu	-	[hibscs, sm]	weak	
lrp	malt	+	[gea]	weak	
lrp	micf	-	[bpp, gea]	strong	
lrp	ompc	-	[aibscs, bpp, gea]	weak	
lrp	oppa	-	[bpp]	strong	
lrp	oppb	-	[bpp]	strong	
lrp	oppc	-	[bpp]	strong	
lrp	oppd	-	[bpp]	strong	
lrp	oppf	-	[bpp]	strong	
lrp	osmc	+	[bpp, gea, hibscs, sm]	strong	
lrp	osmc	-	[bpp, gea, hibscs, sm]	strong	
lrp	osmy	-	[bpp, gea, hibscs]	strong	
lrp	rrfa	-	[bce, bpp]	weak	
lrp	rrfb	-	[bpp, gea, iep]	strong	
lrp	rrfc	-	[bpp, ida]	strong	
lrp	rrfd	-	[gea]	weak	
lrp	rrfe	-	[gea]	weak	
lrp	rrff	-	[gea]	weak	
lrp	rrfg	-	[gea]	weak	
lrp	rrfh	-	[gea]	weak	
lrp	rrla	-	[bce, bpp]	weak	
lrp	rrlb	-	[bpp, gea, iep]	strong	
lrp	rrlc	-	[bpp, ida]	strong	
lrp	rrld	-	[gea]	weak	
lrp	rrle	-	[gea]	weak	
lrp	rrlg	-	[gea]	weak	
lrp	rrlh	-	[gea]	weak	
lrp	rrsa	-	[bce, bpp]	weak	
lrp	rrsb	-	[bpp, gea, iep]	strong	
lrp	rrsc	-	[bpp, ida]	strong	
lrp	rrsd	-	[gea]	weak	
lrp	rrse	-	[gea]	weak	
lrp	rrsg	-	[gea]	weak	
lrp	rrsh	-	[gea]	weak	
lrp	sdaa	-	[aibscs]	weak	
lrp	sera	+	[bpp, gea]	strong	
lrp	sera	-	[bpp, gea]	strong	
lrp	serc	+	[gea, hibscs, sm]	weak	
lrp	ssrs	-	[bpp, gea]	strong	
lrp	stpa	+	[bce, bpp, gea, hibscs]	weak	
lrp	tdh	+	[aibscs, bpp, gea, hibscs]	weak	
lrp	thrv	-	[gea]	weak	
lrp	yeil	+	[gea, hibscs]	weak	
lrp	yhid	-	[aibscs, gea]	weak	
lrp	yoji	+	[gea, icwho]	weak	
lsrr	lsra	-	[bpp, gea, sm]	strong	
lsrr	lsrb	-	[bpp, gea, sm]	strong	
lsrr	lsrc	-	[bpp, gea, sm]	strong	
lsrr	lsrd	-	[bpp, gea, sm]	strong	
lsrr	lsrf	-	[bpp, gea, sm]	strong	
lsrr	lsrg	-	[bpp, gea, sm]	strong	
lsrr	lsrk	-	[bpp, gea, sm]	strong	
lsrr	lsrr	-	[bpp, gea, sm]	strong	
lsrr	tam	-	[bpp, gea, sm]	strong	
lysr	lysa	+	[gea]	weak	
lysr	lysr	-	[gea]	weak	
mali	mali	-	[bce, gea, sm]	weak	
mali	malx	-	[bce, gea, sm]	weak	
mali	maly	-	[bce, gea, sm]	weak	
malt	lamb	+	[aibscs, bpp, hibscs, sm]	weak	
malt	male	+	[aibscs, bpp, hibscs, sm]	weak	
malt	malf	+	[aibscs, bpp, hibscs, sm]	weak	
malt	malg	+	[aibscs, bpp, hibscs, sm]	weak	
malt	malk	+	[aibscs, bpp, hibscs, sm]	weak	
malt	malm	+	[aibscs, bpp, hibscs, sm]	weak	
malt	malp	+	[aibscs, bpp, sm]	weak	
malt	malq	+	[aibscs, bpp, sm]	weak	
malt	mals	+	[aibscs, bce]	weak	
malt	malz	+	[aibscs]	weak	
mara	acna	+	[bpp, gea, hibscs]	strong	
mara	acra	+	[aibscs, bpp, gea, hibscs]	weak	
mara	acrb	+	[aibscs, bpp, gea, hibscs]	weak	
mara	acrz	+	[gea, ihbce]	weak	
mara	dctr	-	[gea, hibscs]	weak	
mara	decr	+	[aibscs]	weak	
mara	fpr	+	[aibscs, bpp, gea, hibscs]	weak	
mara	fumc	+	[bpp, gea]	strong	
mara	hdea	-	[apph, gea, hibscs, sm]	strong	
mara	hdeb	-	[apph, gea, hibscs, sm]	strong	
mara	inaa	+	[bpp, gea, hibscs]	strong	
mara	mara	+	[aibscs, bpp, gea, hibscs]	weak	
mara	marb	+	[aibscs, bpp, gea, hibscs]	weak	
mara	marr	+	[aibscs, bpp, gea, hibscs]	weak	
mara	micf	+	[aibscs, bpp, gea, hibscs]	weak	
mara	nfo	+	[aibscs, gea, hibscs]	weak	
mara	nfsa	+	[bpp, gea, hibscs]	strong	
mara	nfsb	+	[bpp, gea, hibscs]	strong	
mara	poxb	+	[gea, hibscs]	weak	
mara	pqia	+	[bpp, gea, hibscs]	strong	
mara	pqib	+	[bpp, gea, hibscs]	strong	
mara	pura	-	[bpp, gea, hibscs, sm]	strong	
mara	puta	+	[gea]	weak	
mara	rimk	+	[bpp, gea, hibscs]	strong	
mara	rob	-	[bpp, gea, hibscs, sm]	strong	
mara	slp	-	[gea, hibscs]	weak	
mara	soda	+	[bpp, hibscs]	strong	
mara	tolc	+	[aibscs, gea]	weak	
mara	waay	+	[gea, hibscs]	weak	
mara	waaz	+	[gea, hibscs]	weak	
mara	ybjc	+	[bpp, gea, hibscs]	strong	
mara	ybjn	+	[bpp, gea, hibscs]	strong	
mara	ygia	+	[aibscs, gea]	weak	
mara	ygib	+	[aibscs, gea]	weak	
mara	ygic	+	[aibscs, gea]	weak	
mara	yhid	-	[apph, gea, hibscs, sm]	strong	
mara	ynce	+	[gea, hibscs]	weak	
mara	zwf	+	[bpp, gea, hibscs]	strong	
marr	mara	-	[aibscs, bpp, gea, hibscs, sm]	weak	
marr	marb	-	[aibscs, bpp, gea, hibscs, sm]	weak	
marr	marr	-	[aibscs, bpp, gea, hibscs, sm]	weak	
mata	ecpa	+	[bpp]	strong	
mata	ecpr	+	[bpp]	strong	
mata	flhc	-	[bpp, gea]	strong	
mata	flhd	-	[bpp, gea]	strong	
mata	flia	-	[bpp]	strong	
mata	flic	-	[bpp]	strong	
mata	fliz	-	[bpp]	strong	
mata	tcyj	-	[bpp]	strong	
maze	maze	-	[bce, gea, sm]	weak	
maze	mazf	-	[bce, gea, sm]	weak	
maze	mazg	-	[bce, gea, sm]	weak	
maze-mazf	maze	-	[bce, gea, sm]	weak	
maze-mazf	mazf	-	[bce, gea, sm]	weak	
maze-mazf	mazg	-	[bce, gea, sm]	weak	
mcbr	mcba	-	[bpp, gea]	strong	
mcbr	ycie	+	[bpp, gea]	strong	
mcbr	ycif	+	[bpp, gea]	strong	
mcbr	ycig	+	[bpp, gea]	strong	
melr	mela	+	[bpp, gea, hibscs, sm]	strong	
melr	mela	-	[bpp, gea, hibscs, sm]	strong	
melr	melb	+	[bpp, gea, hibscs, sm]	strong	
melr	melb	-	[bpp, gea, hibscs, sm]	strong	
melr	melr	+	[bpp, gea, sm]	strong	
melr	melr	-	[bpp, gea, hibscs, sm]	strong	
metj	ahpc	-	[aibscs]	weak	
metj	ahpf	-	[aibscs]	weak	
metj	fole	-	[aibscs, bpp, gea]	weak	
metj	meta	-	[aibscs, bce, bpp, gea]	weak	
metj	metb	-	[aibscs, gea]	weak	
metj	metc	-	[bpp]	strong	
metj	mete	-	[bpp]	strong	
metj	metf	-	[aibscs, bce, sm]	weak	
metj	meti	-	[aibscs, gea, hibscs]	weak	
metj	metk	-	[aibscs]	weak	
metj	metl	-	[aibscs, gea]	weak	
metj	metn	-	[aibscs, gea, hibscs]	weak	
metj	metq	-	[aibscs, gea, hibscs]	weak	
metj	metr	-	[bpp]	strong	
metj	yeib	-	[aibscs, bpp, gea]	weak	
metr	glya	+	[bpp, gea, hibscs, sm]	strong	
metr	glya	+-	[bpp, gea, hibscs, imp, sm]	strong	
metr	hmp	+	[bpp, gea, hibscs, imp, sm]	strong	
metr	mete	+	[bpp, gea, hibscs]	strong	
metr	meth	+	[gea, hibscs]	weak	
metr	metr	-	[bpp, gea, hibscs]	strong	
mhpr	mhpa	+	[bce, gea, hibscs, sm]	weak	
mhpr	mhpb	+	[bce, gea, hibscs, sm]	weak	
mhpr	mhpc	+	[bce, gea, hibscs, sm]	weak	
mhpr	mhpd	+	[bce, gea, hibscs, sm]	weak	
mhpr	mhpe	+	[bce, gea, hibscs, sm]	weak	
mhpr	mhpf	+	[bce, gea, hibscs, sm]	weak	
mlc	crr	-	[bpp, gea, hibscs]	strong	
mlc	malt	-	[bce, gea, hibscs]	weak	
mlc	manx	-	[bce, gea]	weak	
mlc	many	-	[bce, gea]	weak	
mlc	manz	-	[bce, gea]	weak	
mlc	mlc	-	[bce, gea, hibscs]	weak	
mlc	ptsg	-	[bpp, gea, hibscs]	strong	
mlc	ptsh	-	[bpp, gea, hibscs]	strong	
mlc	ptsi	-	[bpp, gea, hibscs]	strong	
mlc	ynfk	-	[bce, gea, hibscs]	weak	
mlra	cadc	+	[bpp, hibscs]	strong	
mlra	csgd	+	[bpp, gea]	strong	
mlra	csge	+	[bpp, gea]	strong	
mlra	csgf	+	[bpp, gea]	strong	
mlra	csgg	+	[bpp, gea]	strong	
mlra	ibag	+	[bpp, hibscs]	strong	
mlra	obge	+	[bpp, hibscs]	strong	
mlra	rplu	+	[bpp, hibscs]	strong	
mlra	rpma	+	[bpp, hibscs]	strong	
mlra	yhbe	+	[bpp, hibscs]	strong	
mngr	mnga	-	[bpp, gea, hibscs]	strong	
mngr	mngb	-	[bpp, gea, hibscs]	strong	
mngr	mngr	-	[bpp, gea, hibscs]	strong	
mntr	dps	-	[gea, hibscs]	weak	
mntr	mnth	-	[aibscs, bpp, gea]	weak	
mntr	mntp	+	[gea, hibscs]	weak	
mntr	mnts	-	[gea, hibscs]	weak	
mntr	ryba	-	[gea, hibscs]	weak	
mode	ccma	+	[bpp, gea, hibscs, sm]	strong	
mode	ccmb	+	[bpp, gea, hibscs, sm]	strong	
mode	ccmc	+	[bpp, gea, hibscs, sm]	strong	
mode	ccmd	+	[bpp, gea, hibscs, sm]	strong	
mode	ccme	+	[bpp, gea, hibscs, sm]	strong	
mode	ccmf	+	[bpp, gea, hibscs, sm]	strong	
mode	ccmg	+	[bpp, gea, hibscs, sm]	strong	
mode	ccmh	+	[bpp, gea, hibscs, sm]	strong	
mode	deoa	-	[bpp, gea, hibscs]	strong	
mode	deob	-	[bpp, gea, hibscs]	strong	
mode	deoc	-	[bpp, gea, hibscs]	strong	
mode	deod	-	[bpp, gea, hibscs]	strong	
mode	dmsa	-	[bpp, gea, hibscs, sm]	strong	
mode	dmsb	-	[bpp, gea, hibscs, sm]	strong	
mode	dmsc	-	[bpp, gea, hibscs, sm]	strong	
mode	hyca	+	[bpp, gea]	strong	
mode	hycb	+	[bpp, gea]	strong	
mode	hycc	+	[bpp, gea]	strong	
mode	hycd	+	[bpp, gea]	strong	
mode	hyce	+	[bpp, gea]	strong	
mode	hycf	+	[bpp, gea]	strong	
mode	hycg	+	[bpp, gea]	strong	
mode	hych	+	[bpp, gea]	strong	
mode	hyci	+	[bpp, gea]	strong	
mode	moaa	+	[bpp, gea]	strong	
mode	moab	+	[bpp, gea]	strong	
mode	moac	+	[bpp, gea]	strong	
mode	moad	+	[bpp, gea]	strong	
mode	moae	+	[bpp, gea]	strong	
mode	moda	-	[bpp, gea, sm]	strong	
mode	modb	-	[bpp, gea, sm]	strong	
mode	modc	-	[bpp, gea, sm]	strong	
mode	napa	+	[bpp, gea, hibscs, sm]	strong	
mode	napb	+	[bpp, gea, hibscs, sm]	strong	
mode	napc	+	[bpp, gea, hibscs, sm]	strong	
mode	napd	+	[bpp, gea, hibscs, sm]	strong	
mode	napf	+	[bpp, gea, hibscs, sm]	strong	
mode	napg	+	[bpp, gea, hibscs, sm]	strong	
mode	naph	+	[bpp, gea, hibscs, sm]	strong	
mode	narl	+	[bpp, gea, hibscs]	strong	
mode	narx	+	[bpp, gea, hibscs]	strong	
mode	oppa	-	[gea]	weak	
mode	oppb	-	[gea]	weak	
mode	oppc	-	[gea]	weak	
mode	oppd	-	[gea]	weak	
mode	oppf	-	[gea]	weak	
mpra	acra	-	[aibscs]	weak	
mpra	acrb	-	[aibscs]	weak	
mpra	emra	-	[bpp]	strong	
mpra	emrb	-	[bpp]	strong	
mpra	mpra	-	[bpp]	strong	
mpra	nmpc	-	[aibscs]	weak	
mqsa	csgd	-	[bpp, gea, hibscs]	strong	
mqsa	csge	-	[bpp, gea, hibscs]	strong	
mqsa	csgf	-	[bpp, gea, hibscs]	strong	
mqsa	csgg	-	[bpp, gea, hibscs]	strong	
mqsa	cspd	-	[bpp, gea]	strong	
mqsa	mqsa	-	[bpp, hibscs, ihbce]	strong	
mqsa	mqsr	-	[bpp, hibscs, ihbce]	strong	
mqsa	rpos	-	[bpp, gea, ihbce, sm]	strong	
mraz	ddlb	-	[aibscs, bpp, gea, sm]	weak	
mraz	ftsa	-	[aibscs, bpp, gea, sm]	weak	
mraz	ftsi	-	[aibscs, bpp, gea, sm]	weak	
mraz	ftsl	-	[aibscs, bpp, gea, sm]	weak	
mraz	ftsq	-	[aibscs, bpp, gea, sm]	weak	
mraz	ftsw	-	[aibscs, bpp, gea, sm]	weak	
mraz	ftsz	-	[aibscs, bpp, gea, sm]	weak	
mraz	lpxc	-	[aibscs, bpp, gea, sm]	weak	
mraz	mioc	-	[aibscs, bpp, gea]	weak	
mraz	mray	-	[aibscs, bpp, gea, sm]	weak	
mraz	mraz	-	[aibscs, bpp, gea, sm]	weak	
mraz	murc	-	[aibscs, bpp, gea, sm]	weak	
mraz	murd	-	[aibscs, bpp, gea, sm]	weak	
mraz	mure	-	[aibscs, bpp, gea, sm]	weak	
mraz	murf	-	[aibscs, bpp, gea, sm]	weak	
mraz	murg	-	[aibscs, bpp, gea, sm]	weak	
mraz	rsmh	-	[aibscs, bpp, gea, sm]	weak	
mtlr	mtla	-	[gea]	weak	
mtlr	mtld	-	[gea]	weak	
mtlr	mtlr	-	[gea]	weak	
murr	murp	-	[bpp, gea, icwho]	strong	
murr	murq	-	[bpp, gea, icwho]	strong	
murr	murr	+-	[gea, hibscs]	weak	
nac	asnc	-	[gea, hibscs]	weak	
nac	coda	+	[aibscs, bpp, gea, sm]	weak	
nac	codb	+	[aibscs, bpp, gea, sm]	weak	
nac	fear	+	[ihbce]	weak	
nac	gabd	+	[gea, hibscs]	weak	
nac	gabp	+	[gea, hibscs]	weak	
nac	gabt	+	[gea, hibscs]	weak	
nac	gdha	-	[gea, hibscs]	weak	
nac	gltb	-	[gea]	weak	
nac	gltd	-	[gea]	weak	
nac	gltf	-	[gea]	weak	
nac	mioc	-	[gea, hibscs]	weak	
nac	mnmg	-	[gea, hibscs]	weak	
nac	nac	-	[bpp, gea, hibscs]	strong	
nac	nupc	+	[gea]	weak	
nac	patd	+	[gea, hibscs, ida]	weak	
nac	sera	-	[gea, hibscs]	weak	
nac	ydcs	+	[gea, hibscs, ida]	weak	
nac	ydct	+	[gea, hibscs, ida]	weak	
nac	ydcu	+	[gea, hibscs, ida]	weak	
nac	ydcv	+	[gea, hibscs, ida]	weak	
nadr	nada	-	[icwho, imp]	weak	
nadr	nadb	-	[aibscs, bpp, gea, imp]	weak	
nadr	pncb	-	[aibscs]	weak	
nadr	pnuc	-	[icwho, imp]	weak	
nagc	chba	-	[aibscs, bpp, gea, hibscs, sm]	weak	
nagc	chbb	-	[aibscs, bpp, gea, hibscs, sm]	weak	
nagc	chbc	-	[aibscs, bpp, gea, hibscs, sm]	weak	
nagc	chbf	-	[aibscs, bpp, gea, hibscs, sm]	weak	
nagc	chbg	-	[aibscs, bpp, gea, hibscs, sm]	weak	
nagc	chbr	-	[aibscs, bpp, gea, hibscs, sm]	weak	
nagc	chip	-	[aibscs, bpp, gea]	weak	
nagc	crea	-	[aibscs]	weak	
nagc	creb	-	[aibscs]	weak	
nagc	crec	-	[aibscs]	weak	
nagc	cred	-	[aibscs]	weak	
nagc	crr	-	[aibscs]	weak	
nagc	dini	-	[aibscs]	weak	
nagc	feoa	?	[aibscs]	weak	
